grocery_name,01,02,03,04,05,06,07,08,09,10,11,12
misc. beverages', 2, 4, 21, 24, 45, 29, 27, 28, 45, 25, 26, 3
napkins', 2, 2, 40, 40, 77, 62, 44, 28, 77, 55, 72, 16
shopping bags', 3, 16, 63, 91, 141, 121, 85, 48, 153, 125, 94, 29
spread cheese', 1, 2, 9, 7, 25, 11, 11, 6, 16, 9, 8, 5
oil', 5, 4, 23, 37, 40, 33, 31, 13, 42, 26, 34, 14
specialty vegetables', 0, 0, 0, 1, 4, 2, 2, 1, 2, 1, 4, 0
rice', 2, 1, 6, 8, 9, 8, 7, 5, 14, 6, 6, 3
turkey', 1, 0, 8, 7, 7, 13, 7, 9, 14, 7, 7, 0
canned vegetables', 1, 0, 6, 7, 13, 16, 12, 6, 23, 6, 12, 4
dog food', 0, 2, 5, 6, 11, 12, 7, 5, 11, 13, 12, 0
cream', 9, 12, 110, 97, 183, 155, 126, 83, 189, 119, 132, 39
white bread', 1, 4, 29, 38, 55, 49, 53, 36, 60, 36, 41, 12
pudding powder', 0, 0, 0, 3, 1, 4, 5, 1, 3, 3, 2, 1
rum', 0, 0, 7, 3, 7, 3, 2, 5, 5, 3, 5, 4
preservation products', 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
onions', 3, 2, 30, 28, 48, 36, 28, 20, 43, 30, 26, 11
domestic eggs', 4, 3, 49, 52, 95, 88, 57, 42, 96, 48, 75, 15
pickled vegetables', 2, 1, 9, 12, 27, 28, 20, 12, 30, 13, 19, 3
cookware', 0, 1, 1, 6, 4, 1, 4, 0, 3, 6, 1, 0
dessert', 2, 9, 35, 34, 79, 61, 52, 27, 62, 37, 48, 17
flower (seeds)', 1, 0, 7, 7, 15, 9, 6, 11, 18, 11, 12, 5
beverages', 4, 11, 44, 42, 81, 53, 50, 44, 94, 51, 44, 8
potato products', 2, 0, 10, 8, 18, 13, 15, 11, 12, 9, 11, 2
Instant food products', 0, 1, 8, 5, 11, 9, 13, 3, 10, 7, 8, 4
ketchup', 0, 0, 1, 4, 8, 3, 4, 8, 6, 5, 0, 3
finished products', 0, 2, 2, 4, 11, 10, 6, 3, 12, 6, 3, 5
female sanitary products', 0, 1, 5, 6, 10, 3, 6, 5, 10, 7, 6, 1
bottled water', 13, 11, 109, 84, 175, 123, 94, 71, 172, 99, 102, 34
frozen dessert', 1, 0, 13, 6, 18, 23, 4, 4, 13, 12, 8, 4
butter milk', 4, 4, 21, 23, 37, 33, 31, 17, 37, 31, 26, 11
brown bread', 7, 4, 39, 58, 90, 66, 73, 44, 104, 64, 65, 24
citrus fruit', 9, 9, 79, 68, 123, 90, 66, 46, 139, 75, 89, 21
rolls/buns', 23, 24, 178, 137, 267, 208, 184, 106, 263, 210, 155, 54
liquor', 1, 3, 12, 10, 25, 31, 22, 12, 29, 18, 16, 5
sauces', 0, 0, 2, 3, 8, 2, 7, 7, 11, 8, 5, 1
baby cosmetics', 0, 0, 1, 2, 0, 1, 1, 0, 1, 0, 0, 0
packaged fruit/vegetables', 2, 3, 28, 8, 7, 8, 7, 6, 35, 13, 9, 2
soft cheese', 0, 4, 6, 15, 22, 29, 19, 14, 22, 20, 12, 5
frozen potato products', 2, 0, 6, 8, 14, 10, 9, 8, 10, 8, 8, 0
frozen fish', 0, 1, 9, 4, 20, 15, 3, 10, 21, 14, 17, 1
margarine', 4, 7, 46, 54, 97, 65, 59, 48, 75, 44, 63, 14
instant coffee', 0, 0, 6, 7, 14, 8, 12, 4, 10, 5, 4, 3
liqueur', 0, 0, 1, 0, 0, 2, 1, 1, 2, 1, 0, 1
mayonnaise', 0, 0, 6, 10, 20, 15, 8, 9, 3, 11, 7, 1
specialty cheese', 0, 1, 5, 6, 18, 11, 8, 6, 13, 5, 9, 2
honey', 0, 1, 2, 1, 2, 1, 2, 0, 1, 4, 1, 0
light bulbs', 0, 0, 2, 7, 9, 4, 2, 4, 5, 4, 4, 0
roll products', 0, 0, 7, 13, 15, 18, 10, 7, 14, 7, 9, 1
jam', 0, 0, 2, 6, 12, 9, 5, 5, 5, 2, 6, 1
bags', 3, 19, 70, 97, 160, 127, 93, 54, 174, 137, 103, 33
frozen fruits', 0, 0, 0, 1, 2, 1, 4, 0, 0, 1, 3, 0
seasonal products', 1, 0, 9, 7, 16, 21, 12, 11, 27, 14, 19, 3
root vegetables', 9, 8, 98, 79, 159, 127, 122, 84, 145, 98, 112, 31
snack products', 0, 1, 3, 1, 7, 4, 2, 1, 3, 3, 5, 0
whisky', 0, 0, 0, 1, 1, 2, 1, 0, 0, 3, 0, 0
herbs', 1, 3, 14, 13, 27, 16, 15, 8, 25, 12, 20, 6
potted plants', 1, 1, 18, 19, 30, 24, 12, 18, 22, 8, 16, 1
frozen chicken', 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0
salad dressing', 0, 0, 1, 1, 1, 2, 0, 1, 1, 1, 0, 0
meat', 5, 7, 47, 45, 89, 66, 75, 36, 72, 58, 78, 17
hair spray', 0, 0, 2, 1, 2, 1, 1, 0, 1, 2, 1, 0
baby food', 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
chicken', 2, 0, 31, 31, 59, 59, 38, 37, 58, 43, 50, 20
abrasive cleaner', 2, 0, 6, 3, 2, 2, 0, 2, 11, 3, 2, 2
sausage', 9, 14, 56, 71, 132, 112, 100, 68, 150, 100, 101, 28
decalcifier', 0, 0, 2, 3, 4, 3, 0, 0, 1, 0, 1, 1
ham', 5, 8, 44, 46, 89, 66, 53, 40, 75, 54, 67, 24
syrup', 0, 0, 1, 1, 4, 4, 6, 1, 5, 3, 7, 0
vinegar', 0, 0, 6, 8, 12, 9, 3, 3, 9, 5, 3, 6
tea', 0, 1, 5, 1, 8, 1, 4, 5, 6, 4, 2, 1
organic products', 0, 0, 5, 0, 2, 2, 1, 0, 5, 0, 1, 0
yogurt', 15, 9, 106, 113, 202, 163, 137, 80, 209, 147, 146, 45
male cosmetics', 0, 1, 3, 4, 8, 2, 5, 2, 13, 5, 2, 0
canned fruit', 0, 1, 2, 4, 3, 2, 6, 0, 6, 4, 3, 1
specialty bar', 4, 4, 18, 19, 37, 36, 25, 11, 45, 39, 23, 8
cake bar', 0, 4, 7, 4, 19, 16, 17, 1, 25, 14, 17, 6
pastry', 10, 5, 64, 66, 145, 114, 77, 53, 127, 84, 93, 37
prosecco', 0, 1, 0, 2, 0, 3, 5, 0, 3, 5, 1, 0
spices', 1, 1, 5, 2, 9, 6, 4, 4, 8, 8, 3, 0
red/blush wine', 3, 2, 15, 15, 28, 28, 18, 6, 26, 27, 15, 6
coffee', 7, 6, 70, 57, 88, 79, 67, 34, 99, 60, 41, 30
cleaner', 5, 2, 20, 21, 22, 30, 10, 12, 35, 26, 20, 4
organic sausage', 0, 0, 1, 2, 3, 4, 1, 4, 2, 3, 2, 0
liquor (appetizer)', 1, 3, 8, 4, 13, 10, 8, 5, 11, 8, 5, 2
sparkling wine', 1, 2, 6, 2, 6, 3, 7, 3, 8, 9, 8, 0
sliced cheese', 1, 2, 26, 15, 30, 28, 25, 12, 34, 27, 29, 12
whipped/sour cream', 5, 4, 67, 58, 102, 98, 62, 54, 99, 63, 73, 20
long life bakery product', 2, 3, 23, 26, 53, 46, 41, 22, 60, 36, 45, 11
pasta', 1, 1, 14, 14, 23, 16, 23, 6, 16, 16, 11, 7
salty snack', 3, 2, 30, 30, 51, 50, 33, 24, 61, 23, 57, 8
candles', 3, 1, 7, 6, 13, 14, 10, 5, 13, 9, 7, 0
bottled beer', 3, 11, 62, 61, 119, 94, 97, 50, 115, 83, 77, 20
dental care', 0, 1, 5, 5, 12, 6, 8, 2, 5, 4, 7, 2
waffles', 3, 5, 14, 33, 63, 50, 37, 26, 49, 37, 41, 20
curd', 7, 10, 62, 37, 81, 60, 40, 39, 87, 67, 54, 23
white wine', 1, 3, 14, 9, 29, 23, 23, 9, 30, 19, 21, 6
canned beer', 8, 12, 57, 58, 121, 100, 81, 60, 115, 76, 68, 8
hard cheese', 2, 2, 22, 12, 40, 21, 30, 15, 37, 30, 27, 3
hamburger meat', 3, 4, 30, 22, 47, 40, 33, 23, 39, 34, 40, 12
skin care', 0, 0, 3, 5, 3, 5, 3, 4, 4, 4, 4, 0
artif. sweetener', 1, 0, 5, 1, 4, 4, 3, 2, 3, 4, 4, 1
hygiene articles', 2, 2, 43, 18, 47, 27, 33, 16, 62, 37, 25, 12
semi-finished bread', 2, 2, 11, 10, 19, 26, 18, 15, 26, 13, 28, 4
house keeping products', 0, 0, 6, 6, 8, 10, 11, 10, 11, 5, 12, 3
grapes', 4, 1, 21, 30, 15, 12, 13, 7, 36, 39, 37, 5
bathroom cleaner', 3, 0, 2, 3, 2, 4, 3, 2, 1, 5, 2, 0
cat food', 2, 0, 9, 20, 41, 30, 28, 13, 33, 24, 20, 9
tidbits', 0, 0, 0, 1, 4, 3, 2, 3, 3, 0, 5, 2
liver loaf', 0, 0, 2, 6, 9, 5, 9, 3, 8, 1, 7, 0
sugar', 7, 6, 28, 34, 47, 36, 33, 18, 43, 31, 40, 10
cocoa drinks', 0, 1, 2, 1, 1, 4, 5, 0, 2, 4, 2, 0
condensed milk', 2, 1, 2, 7, 14, 8, 15, 11, 14, 10, 11, 6
soups', 1, 0, 10, 6, 9, 9, 6, 9, 17, 4, 12, 2
frankfurter', 4, 13, 56, 45, 85, 66, 52, 32, 89, 59, 61, 18
frozen vegetables', 4, 7, 35, 31, 81, 63, 42, 34, 64, 50, 51, 11
whole milk', 26, 32, 214, 167, 373, 294, 258, 177, 374, 257, 253, 88
soap', 0, 0, 6, 0, 1, 0, 1, 1, 9, 5, 3, 0
pet care', 0, 0, 7, 6, 6, 20, 7, 4, 19, 12, 7, 5
mustard', 0, 0, 13, 7, 18, 17, 16, 9, 21, 7, 8, 2
beef', 4, 6, 60, 32, 73, 47, 35, 41, 85, 57, 63, 13
canned fish', 1, 0, 10, 11, 24, 16, 18, 6, 22, 21, 17, 2
popcorn', 0, 3, 2, 4, 8, 14, 7, 2, 9, 6, 16, 0
baking powder', 1, 2, 13, 14, 32, 26, 12, 12, 24, 18, 17, 3
salt', 5, 4, 36, 37, 65, 59, 43, 32, 79, 30, 68, 13
chocolate', 9, 3, 46, 58, 121, 106, 71, 60, 134, 113, 97, 27
sweet spreads', 1, 0, 2, 7, 25, 10, 14, 2, 19, 4, 3, 2
UHT-milk', 2, 3, 21, 31, 39, 49, 39, 27, 40, 36, 31, 11
cereals', 2, 2, 4, 2, 8, 7, 6, 1, 11, 6, 7, 0
flour', 3, 2, 14, 18, 28, 23, 6, 13, 26, 17, 15, 6
candy', 2, 2, 21, 21, 48, 38, 23, 19, 51, 27, 36, 6
cling film/bags', 0, 3, 7, 6, 17, 8, 9, 8, 24, 15, 12, 3
newspapers', 9, 8, 72, 49, 109, 77, 94, 65, 122, 71, 85, 24
cooking chocolate', 0, 0, 0, 0, 4, 4, 1, 2, 6, 5, 2, 1
kitchen utensil', 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 2, 0
specialty chocolate', 2, 1, 15, 20, 48, 39, 25, 20, 52, 34, 35, 8
nuts/prunes', 0, 0, 3, 1, 5, 6, 2, 0, 3, 5, 5, 3
dishes', 1, 5, 14, 19, 21, 29, 18, 5, 26, 17, 14, 4
dish cleaner', 0, 1, 9, 13, 16, 11, 6, 6, 16, 12, 13, 0
ready soups', 1, 0, 4, 0, 1, 3, 1, 1, 3, 0, 3, 1
brandy', 1, 0, 3, 5, 5, 4, 4, 0, 0, 10, 7, 2
rubbing alcohol', 0, 0, 2, 0, 2, 0, 2, 0, 1, 2, 1, 0
curd cheese', 1, 1, 4, 2, 4, 7, 2, 6, 7, 8, 4, 4
detergent', 6, 3, 19, 21, 14, 19, 20, 19, 27, 22, 15, 4
photo/film', 1, 1, 10, 5, 17, 14, 10, 5, 11, 8, 7, 2
chocolate marshmallow', 1, 0, 8, 4, 9, 15, 5, 8, 10, 7, 20, 2
chewing gum', 1, 3, 14, 20, 32, 26, 21, 15, 26, 23, 16, 10
make up remover', 0, 1, 0, 0, 0, 2, 0, 2, 2, 0, 1, 0
other vegetables', 17, 24, 148, 148, 279, 223, 184, 160, 263, 165, 239, 53
cream cheese', 4, 6, 31, 29, 59, 41, 43, 23, 61, 37, 42, 14
tropical fruit', 12, 11, 76, 73, 139, 121, 119, 72, 166, 106, 107, 30
pip fruit', 2, 5, 36, 50, 139, 96, 96, 52, 103, 62, 84, 19
meat spreads', 2, 1, 1, 3, 8, 5, 8, 0, 6, 4, 2, 2
fruit/vegetable juice', 9, 7, 53, 56, 113, 90, 75, 43, 106, 61, 75, 23
softener', 0, 1, 4, 7, 10, 9, 9, 2, 7, 2, 1, 2
nut snack', 0, 0, 1, 1, 4, 6, 3, 1, 7, 3, 4, 1
sound storage medium', 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
toilet cleaner', 0, 0, 0, 1, 0, 3, 0, 0, 0, 2, 1, 0
processed cheese', 2, 2, 6, 17, 21, 15, 22, 7, 27, 20, 19, 5
zwieback', 1, 1, 5, 5, 9, 3, 4, 5, 16, 6, 9, 4
kitchen towels', 0, 0, 2, 5, 9, 12, 9, 4, 5, 4, 5, 4
butter', 10, 8, 59, 66, 120, 101, 80, 50, 113, 75, 92, 25
flower soil/fertilizer', 0, 1, 1, 0, 3, 2, 3, 0, 7, 2, 0, 0
fish', 1, 2, 22, 18, 47, 33, 24, 18, 47, 36, 35, 3
pork', 4, 4, 46, 42, 89, 68, 54, 44, 78, 54, 64, 20
ice cream', 1, 3, 20, 16, 34, 30, 30, 14, 40, 28, 23, 7
specialty fat', 1, 0, 3, 4, 7, 6, 3, 2, 5, 4, 1, 0
soda', 15, 20, 125, 127, 273, 213, 178, 115, 278, 169, 163, 39
berries', 6, 6, 38, 16, 35, 39, 19, 16, 60, 44, 41, 7
frozen meals', 1, 1, 16, 16, 40, 37, 31, 17, 41, 37, 24, 18
